bathrooms,bedrooms,area,zipcode,bathroom_image,kitchen_image,bedroom_image,frontal_image,price
2,2,1056,93446,479_bathroom.jpg,479_kitchen.jpg,479_bedroom.jpg,479_frontal.jpg,179900
4,5,3565,92880,300_bathroom.jpg,300_kitchen.jpg,300_bedroom.jpg,300_frontal.jpg,537000
3,5,3710,85331,17_bathroom.jpg,17_kitchen.jpg,17_bedroom.jpg,17_frontal.jpg,740000
2,3,1471,92802,506_bathroom.jpg,506_kitchen.jpg,506_bedroom.jpg,506_frontal.jpg,525000
2,4,1916,93510,456_bathroom.jpg,456_kitchen.jpg,456_bedroom.jpg,456_frontal.jpg,549950
5,5,4022,85262,4_bathroom.jpg,4_kitchen.jpg,4_bedroom.jpg,4_frontal.jpg,910000
4,4,4600,93446,473_bathroom.jpg,473_kitchen.jpg,473_bedroom.jpg,473_frontal.jpg,1250000
3.5,5,3149,92880,299_bathroom.jpg,299_kitchen.jpg,299_bedroom.jpg,299_frontal.jpg,500000
2.5,3,1776,62034,61_bathroom.jpg,61_kitchen.jpg,61_bedroom.jpg,61_frontal.jpg,209900
3,4,3277,91901,111_bathroom.jpg,111_kitchen.jpg,111_bedroom.jpg,111_frontal.jpg,669000
2,2,1344,92276,349_bathroom.jpg,349_kitchen.jpg,349_bedroom.jpg,349_frontal.jpg,67500
2,3,1940,93446,461_bathroom.jpg,461_kitchen.jpg,461_bedroom.jpg,461_frontal.jpg,530000
4.5,5,4829,85266,30_bathroom.jpg,30_kitchen.jpg,30_bedroom.jpg,30_frontal.jpg,1199000
2,4,1426,93111,219_bathroom.jpg,219_kitchen.jpg,219_bedroom.jpg,219_frontal.jpg,949000
2,2,994,94501,197_bathroom.jpg,197_kitchen.jpg,197_bedroom.jpg,197_frontal.jpg,479000
4.5,4,3550,85262,27_bathroom.jpg,27_kitchen.jpg,27_bedroom.jpg,27_frontal.jpg,962500
5,4,5524,85266,8_bathroom.jpg,8_kitchen.jpg,8_bedroom.jpg,8_frontal.jpg,1698000
2.5,3,2185,94501,182_bathroom.jpg,182_kitchen.jpg,182_bedroom.jpg,182_frontal.jpg,490000
4.5,6,4386,93446,494_bathroom.jpg,494_kitchen.jpg,494_bedroom.jpg,494_frontal.jpg,759000
3,4,3706,91901,109_bathroom.jpg,109_kitchen.jpg,109_bedroom.jpg,109_frontal.jpg,848000
3.5,3,2792,85255,38_bathroom.jpg,38_kitchen.jpg,38_bedroom.jpg,38_frontal.jpg,799900
2,3,1306,96019,158_bathroom.jpg,158_kitchen.jpg,158_bedroom.jpg,158_frontal.jpg,239900
2.5,2,987,92802,510_bathroom.jpg,510_kitchen.jpg,510_bedroom.jpg,510_frontal.jpg,475000
2.5,3,1680,92021,119_bathroom.jpg,119_kitchen.jpg,119_bedroom.jpg,119_frontal.jpg,389000
2,3,1382,92021,115_bathroom.jpg,115_kitchen.jpg,115_bedroom.jpg,115_frontal.jpg,429900
2.5,2,960,92276,339_bathroom.jpg,339_kitchen.jpg,339_bedroom.jpg,339_frontal.jpg,135000
3.5,3,2724,94501,204_bathroom.jpg,204_kitchen.jpg,204_bedroom.jpg,204_frontal.jpg,1150000
1,1,701,94501,176_bathroom.jpg,176_kitchen.jpg,176_bedroom.jpg,176_frontal.jpg,339000
2,4,2304,93111,221_bathroom.jpg,221_kitchen.jpg,221_bedroom.jpg,221_frontal.jpg,1495000
2,3,2971,93446,396_bathroom.jpg,396_kitchen.jpg,396_bedroom.jpg,396_frontal.jpg,2395000
2.5,3,2141,92677,145_bathroom.jpg,145_kitchen.jpg,145_bedroom.jpg,145_frontal.jpg,750000
1,2,805,94501,195_bathroom.jpg,195_kitchen.jpg,195_bedroom.jpg,195_frontal.jpg,625000
2,3,1806,92276,403_bathroom.jpg,403_kitchen.jpg,403_bedroom.jpg,403_frontal.jpg,179000
2,2,1440,92276,415_bathroom.jpg,415_kitchen.jpg,415_bedroom.jpg,415_frontal.jpg,94900
4,6,4311,92880,232_bathroom.jpg,232_kitchen.jpg,232_bedroom.jpg,232_frontal.jpg,695000
3,4,1882,92802,509_bathroom.jpg,509_kitchen.jpg,509_bedroom.jpg,509_frontal.jpg,825000
2.5,3,2295,90211,256_bathroom.jpg,256_kitchen.jpg,256_bedroom.jpg,256_frontal.jpg,1500000
2,2,900,93446,488_bathroom.jpg,488_kitchen.jpg,488_bedroom.jpg,488_frontal.jpg,125000
2.5,3,1950,92677,142_bathroom.jpg,142_kitchen.jpg,142_bedroom.jpg,142_frontal.jpg,895000
2,2,960,92276,399_bathroom.jpg,399_kitchen.jpg,399_bedroom.jpg,399_frontal.jpg,69500
3,4,2851,62234,68_bathroom.jpg,68_kitchen.jpg,68_bedroom.jpg,68_frontal.jpg,186500
3,5,3013,92880,249_bathroom.jpg,249_kitchen.jpg,249_bedroom.jpg,249_frontal.jpg,530000
2.5,3,3467,95220,169_bathroom.jpg,169_kitchen.jpg,169_bedroom.jpg,169_frontal.jpg,1449000
2.5,4,2020,94501,189_bathroom.jpg,189_kitchen.jpg,189_bedroom.jpg,189_frontal.jpg,825000
2,2,1380,92276,292_bathroom.jpg,292_kitchen.jpg,292_bedroom.jpg,292_frontal.jpg,125000
2,3,1508,93510,430_bathroom.jpg,430_kitchen.jpg,430_bedroom.jpg,430_frontal.jpg,449000
3,4,3141,92880,251_bathroom.jpg,251_kitchen.jpg,251_bedroom.jpg,251_frontal.jpg,529999
1,2,834,94501,194_bathroom.jpg,194_kitchen.jpg,194_bedroom.jpg,194_frontal.jpg,549000
2,2,1845,91901,82_bathroom.jpg,82_kitchen.jpg,82_bedroom.jpg,82_frontal.jpg,529800
4.5,5,4874,91901,110_bathroom.jpg,110_kitchen.jpg,110_bedroom.jpg,110_frontal.jpg,1499000
4,6,4311,92880,276_bathroom.jpg,276_kitchen.jpg,276_bedroom.jpg,276_frontal.jpg,669472
2.5,3,1655,92677,146_bathroom.jpg,146_kitchen.jpg,146_bedroom.jpg,146_frontal.jpg,649900
2.5,3,2836,91901,93_bathroom.jpg,93_kitchen.jpg,93_bedroom.jpg,93_frontal.jpg,979000
2,2,1056,96019,153_bathroom.jpg,153_kitchen.jpg,153_bedroom.jpg,153_frontal.jpg,22000
2,4,1512,93720,258_bathroom.jpg,258_kitchen.jpg,258_bedroom.jpg,258_frontal.jpg,89900
2,3,3326,93510,429_bathroom.jpg,429_kitchen.jpg,429_bedroom.jpg,429_frontal.jpg,549000
3,4,3010,92880,273_bathroom.jpg,273_kitchen.jpg,273_bedroom.jpg,273_frontal.jpg,490000
1,2,960,92276,389_bathroom.jpg,389_kitchen.jpg,389_bedroom.jpg,389_frontal.jpg,49900
2.5,4,3060,91901,84_bathroom.jpg,84_kitchen.jpg,84_bedroom.jpg,84_frontal.jpg,699999
2.5,4,2726,91901,104_bathroom.jpg,104_kitchen.jpg,104_bedroom.jpg,104_frontal.jpg,644900
3,4,3548,95220,166_bathroom.jpg,166_kitchen.jpg,166_bedroom.jpg,166_frontal.jpg,824999
2.5,4,1580,95220,164_bathroom.jpg,164_kitchen.jpg,164_bedroom.jpg,164_frontal.jpg,475000
2.5,3,1652,94501,200_bathroom.jpg,200_kitchen.jpg,200_bedroom.jpg,200_frontal.jpg,649000
2,2,1059,93510,452_bathroom.jpg,452_kitchen.jpg,452_bedroom.jpg,452_frontal.jpg,445000
3.5,4,2116,60002,75_bathroom.jpg,75_kitchen.jpg,75_bedroom.jpg,75_frontal.jpg,229000
2,2,1598,92276,337_bathroom.jpg,337_kitchen.jpg,337_bedroom.jpg,337_frontal.jpg,136900
3,4,2257,90803,269_bathroom.jpg,269_kitchen.jpg,269_bedroom.jpg,269_frontal.jpg,1299000
2.5,3,1717,92802,513_bathroom.jpg,513_kitchen.jpg,513_bedroom.jpg,513_frontal.jpg,540000
2,4,1696,92021,120_bathroom.jpg,120_kitchen.jpg,120_bedroom.jpg,120_frontal.jpg,379000
3,4,2570,92880,306_bathroom.jpg,306_kitchen.jpg,306_bedroom.jpg,306_frontal.jpg,510000
2,4,2252,93510,326_bathroom.jpg,326_kitchen.jpg,326_bedroom.jpg,326_frontal.jpg,585000
3,4,2579,92880,278_bathroom.jpg,278_kitchen.jpg,278_bedroom.jpg,278_frontal.jpg,520000
2,2,1152,92276,387_bathroom.jpg,387_kitchen.jpg,387_bedroom.jpg,387_frontal.jpg,99000
3,4,2312,94531,534_bathroom.jpg,534_kitchen.jpg,534_bedroom.jpg,534_frontal.jpg,419000
3,2,1280,92276,398_bathroom.jpg,398_kitchen.jpg,398_bedroom.jpg,398_frontal.jpg,69900
4,4,2893,92880,279_bathroom.jpg,279_kitchen.jpg,279_bedroom.jpg,279_frontal.jpg,520000
2,4,1717,93510,442_bathroom.jpg,442_kitchen.jpg,442_bedroom.jpg,442_frontal.jpg,494000
2,3,1248,93510,322_bathroom.jpg,322_kitchen.jpg,322_bedroom.jpg,322_frontal.jpg,240000
2,2,1440,92276,418_bathroom.jpg,418_kitchen.jpg,418_bedroom.jpg,418_frontal.jpg,99900
3,5,3767,92880,298_bathroom.jpg,298_kitchen.jpg,298_bedroom.jpg,298_frontal.jpg,567000
5.5,5,3932,85262,37_bathroom.jpg,37_kitchen.jpg,37_bedroom.jpg,37_frontal.jpg,1089000
2,2,1935,92677,140_bathroom.jpg,140_kitchen.jpg,140_bedroom.jpg,140_frontal.jpg,738000
3,2,1627,92253,254_bathroom.jpg,254_kitchen.jpg,254_bedroom.jpg,254_frontal.jpg,550000
2,4,2334,94531,520_bathroom.jpg,520_kitchen.jpg,520_bedroom.jpg,520_frontal.jpg,460000
2,3,1709,62234,60_bathroom.jpg,60_kitchen.jpg,60_bedroom.jpg,60_frontal.jpg,104900
3.5,3,4289,91901,112_bathroom.jpg,112_kitchen.jpg,112_bedroom.jpg,112_frontal.jpg,1195000
1.5,2,1800,92276,287_bathroom.jpg,287_kitchen.jpg,287_bedroom.jpg,287_frontal.jpg,163000
2,2,1248,92276,291_bathroom.jpg,291_kitchen.jpg,291_bedroom.jpg,291_frontal.jpg,115000
2,2,1503,92692,263_bathroom.jpg,263_kitchen.jpg,263_bedroom.jpg,263_frontal.jpg,664900
2,2,1440,92276,394_bathroom.jpg,394_kitchen.jpg,394_bedroom.jpg,394_frontal.jpg,83900
4,5,3489,92677,151_bathroom.jpg,151_kitchen.jpg,151_bedroom.jpg,151_frontal.jpg,1650000
4,4,2460,90038,267_bathroom.jpg,267_kitchen.jpg,267_bedroom.jpg,267_frontal.jpg,1550000
2,2,1020,92276,416_bathroom.jpg,416_kitchen.jpg,416_bedroom.jpg,416_frontal.jpg,42900
4.5,3,4228,85255,39_bathroom.jpg,39_kitchen.jpg,39_bedroom.jpg,39_frontal.jpg,1229000
2,3,1248,92276,343_bathroom.jpg,343_kitchen.jpg,343_bedroom.jpg,343_frontal.jpg,139500
1.5,3,1581,94501,199_bathroom.jpg,199_kitchen.jpg,199_bedroom.jpg,199_frontal.jpg,895000
5,4,3307,92880,281_bathroom.jpg,281_kitchen.jpg,281_bedroom.jpg,281_frontal.jpg,519900
2.5,3,2225,92677,147_bathroom.jpg,147_kitchen.jpg,147_bedroom.jpg,147_frontal.jpg,949000
3.5,4,3420,94531,528_bathroom.jpg,528_kitchen.jpg,528_bedroom.jpg,528_frontal.jpg,550000
2.5,3,2125,92677,148_bathroom.jpg,148_kitchen.jpg,148_bedroom.jpg,148_frontal.jpg,728000
2,2,2015,92276,335_bathroom.jpg,335_kitchen.jpg,335_bedroom.jpg,335_frontal.jpg,219000
2.5,3,2326,93510,311_bathroom.jpg,311_kitchen.jpg,311_bedroom.jpg,311_frontal.jpg,553000
2.5,4,2319,92021,124_bathroom.jpg,124_kitchen.jpg,124_bedroom.jpg,124_frontal.jpg,699800
3,3,2356,93510,450_bathroom.jpg,450_kitchen.jpg,450_bedroom.jpg,450_frontal.jpg,710000
3,5,3747,91901,97_bathroom.jpg,97_kitchen.jpg,97_bedroom.jpg,97_frontal.jpg,925000
3,4,2614,92677,144_bathroom.jpg,144_kitchen.jpg,144_bedroom.jpg,144_frontal.jpg,1045000
4,5,3270,92880,240_bathroom.jpg,240_kitchen.jpg,240_bedroom.jpg,240_frontal.jpg,560000
5,4,3834,92880,297_bathroom.jpg,297_kitchen.jpg,297_bedroom.jpg,297_frontal.jpg,530000
2.5,3,1675,91901,98_bathroom.jpg,98_kitchen.jpg,98_bedroom.jpg,98_frontal.jpg,470000
3,3,2390,93446,465_bathroom.jpg,465_kitchen.jpg,465_bedroom.jpg,465_frontal.jpg,769000
2,3,1454,92276,383_bathroom.jpg,383_kitchen.jpg,383_bedroom.jpg,383_frontal.jpg,122500
3,5,4200,92021,123_bathroom.jpg,123_kitchen.jpg,123_bedroom.jpg,123_frontal.jpg,799000
1,2,766,94501,184_bathroom.jpg,184_kitchen.jpg,184_bedroom.jpg,184_frontal.jpg,598000
3,3,2361,94501,203_bathroom.jpg,203_kitchen.jpg,203_bedroom.jpg,203_frontal.jpg,988000
3,5,3340,92880,247_bathroom.jpg,247_kitchen.jpg,247_bedroom.jpg,247_frontal.jpg,534977
2,2,1440,92276,334_bathroom.jpg,334_kitchen.jpg,334_bedroom.jpg,334_frontal.jpg,97500
4,6,3705,93510,324_bathroom.jpg,324_kitchen.jpg,324_bedroom.jpg,324_frontal.jpg,765000
2,2,1040,92276,384_bathroom.jpg,384_kitchen.jpg,384_bedroom.jpg,384_frontal.jpg,67900
2,2,1440,92276,411_bathroom.jpg,411_kitchen.jpg,411_bedroom.jpg,411_frontal.jpg,62500
2.5,3,2824,93510,432_bathroom.jpg,432_kitchen.jpg,432_bedroom.jpg,432_frontal.jpg,569000
2,3,2691,93510,308_bathroom.jpg,308_kitchen.jpg,308_bedroom.jpg,308_frontal.jpg,675000
6.5,6,7000,92677,126_bathroom.jpg,126_kitchen.jpg,126_bedroom.jpg,126_frontal.jpg,3850000
2,3,2315,93510,330_bathroom.jpg,330_kitchen.jpg,330_bedroom.jpg,330_frontal.jpg,499000
4.5,4,2844,93111,224_bathroom.jpg,224_kitchen.jpg,224_bedroom.jpg,224_frontal.jpg,1595000
2.5,4,2699,93446,468_bathroom.jpg,468_kitchen.jpg,468_bedroom.jpg,468_frontal.jpg,629000
2,3,1447,93111,220_bathroom.jpg,220_kitchen.jpg,220_bedroom.jpg,220_frontal.jpg,1080000
3,3,1825,92677,130_bathroom.jpg,130_kitchen.jpg,130_bedroom.jpg,130_frontal.jpg,685000
5,6,4090,93510,457_bathroom.jpg,457_kitchen.jpg,457_bedroom.jpg,457_frontal.jpg,859000
1,3,1337,93510,313_bathroom.jpg,313_kitchen.jpg,313_bedroom.jpg,313_frontal.jpg,335000
2,2,1840,92276,382_bathroom.jpg,382_kitchen.jpg,382_bedroom.jpg,382_frontal.jpg,160000
2,2,1722,92276,412_bathroom.jpg,412_kitchen.jpg,412_bedroom.jpg,412_frontal.jpg,174500
2.5,4,2362,93510,325_bathroom.jpg,325_kitchen.jpg,325_bedroom.jpg,325_frontal.jpg,539900
2,3,1400,93446,458_bathroom.jpg,458_kitchen.jpg,458_bedroom.jpg,458_frontal.jpg,139900
2,3,1640,93446,490_bathroom.jpg,490_kitchen.jpg,490_bedroom.jpg,490_frontal.jpg,425000
2,3,2788,92276,295_bathroom.jpg,295_kitchen.jpg,295_bedroom.jpg,295_frontal.jpg,385000
2,2,1640,92276,400_bathroom.jpg,400_kitchen.jpg,400_bedroom.jpg,400_frontal.jpg,79500
2,2,1440,92276,371_bathroom.jpg,371_kitchen.jpg,371_bedroom.jpg,371_frontal.jpg,84900
2,2,1820,92276,332_bathroom.jpg,332_kitchen.jpg,332_bedroom.jpg,332_frontal.jpg,225000
3.5,5,3778,91901,113_bathroom.jpg,113_kitchen.jpg,113_bedroom.jpg,113_frontal.jpg,949000
2,3,1789,94501,180_bathroom.jpg,180_kitchen.jpg,180_bedroom.jpg,180_frontal.jpg,895000
2,2,1248,92276,336_bathroom.jpg,336_kitchen.jpg,336_bedroom.jpg,336_frontal.jpg,103500
2,2,1344,92276,370_bathroom.jpg,370_kitchen.jpg,370_bedroom.jpg,370_frontal.jpg,84900
1,2,960,92276,361_bathroom.jpg,361_kitchen.jpg,361_bedroom.jpg,361_frontal.jpg,63500
3,4,2987,93510,315_bathroom.jpg,315_kitchen.jpg,315_bedroom.jpg,315_frontal.jpg,615000
2.5,3,1808,96019,152_bathroom.jpg,152_kitchen.jpg,152_bedroom.jpg,152_frontal.jpg,219800
2,3,1766,92276,393_bathroom.jpg,393_kitchen.jpg,393_bedroom.jpg,393_frontal.jpg,129000
4,6,3635,92880,234_bathroom.jpg,234_kitchen.jpg,234_bedroom.jpg,234_frontal.jpg,585000
2,2,1088,93446,487_bathroom.jpg,487_kitchen.jpg,487_bedroom.jpg,487_frontal.jpg,275000
2,2,1544,92276,378_bathroom.jpg,378_kitchen.jpg,378_bedroom.jpg,378_frontal.jpg,124900
3,4,2462,95220,165_bathroom.jpg,165_kitchen.jpg,165_bedroom.jpg,165_frontal.jpg,915000
4,5,3198,93510,318_bathroom.jpg,318_kitchen.jpg,318_bedroom.jpg,318_frontal.jpg,695000
3.5,3,2800,92677,137_bathroom.jpg,137_kitchen.jpg,137_bedroom.jpg,137_frontal.jpg,1399999
2.5,3,1665,94501,198_bathroom.jpg,198_kitchen.jpg,198_bedroom.jpg,198_frontal.jpg,875000
3.5,5,3149,92880,259_bathroom.jpg,259_kitchen.jpg,259_bedroom.jpg,259_frontal.jpg,515000
4,5,2809,92880,233_bathroom.jpg,233_kitchen.jpg,233_bedroom.jpg,233_frontal.jpg,635900
2.5,3,3300,92021,116_bathroom.jpg,116_kitchen.jpg,116_bedroom.jpg,116_frontal.jpg,935000
2,4,2150,92021,121_bathroom.jpg,121_kitchen.jpg,121_bedroom.jpg,121_frontal.jpg,578000
1.5,1,1440,92276,381_bathroom.jpg,381_kitchen.jpg,381_bedroom.jpg,381_frontal.jpg,87500
3.5,3,1876,93111,225_bathroom.jpg,225_kitchen.jpg,225_bedroom.jpg,225_frontal.jpg,1149000
3,3,2848,93510,439_bathroom.jpg,439_kitchen.jpg,439_bedroom.jpg,439_frontal.jpg,547900
2,2,1248,92276,368_bathroom.jpg,368_kitchen.jpg,368_bedroom.jpg,368_frontal.jpg,117500
2.5,2,915,92677,128_bathroom.jpg,128_kitchen.jpg,128_bedroom.jpg,128_frontal.jpg,347000
3,5,3679,94531,526_bathroom.jpg,526_kitchen.jpg,526_bedroom.jpg,526_frontal.jpg,525000
2,2,1152,92276,286_bathroom.jpg,286_kitchen.jpg,286_bedroom.jpg,286_frontal.jpg,96900
2,2,1248,93446,472_bathroom.jpg,472_kitchen.jpg,472_bedroom.jpg,472_frontal.jpg,175000
4,4,3522,93510,448_bathroom.jpg,448_kitchen.jpg,448_bedroom.jpg,448_frontal.jpg,680000
3.5,4,1084,91901,108_bathroom.jpg,108_kitchen.jpg,108_bedroom.jpg,108_frontal.jpg,875000
2,2,1344,92276,404_bathroom.jpg,404_kitchen.jpg,404_bedroom.jpg,404_frontal.jpg,89500
2,2,1240,92276,356_bathroom.jpg,356_kitchen.jpg,356_bedroom.jpg,356_frontal.jpg,117000
7,7,3265,92677,134_bathroom.jpg,134_kitchen.jpg,134_bedroom.jpg,134_frontal.jpg,1200000
2,2,1468,92276,397_bathroom.jpg,397_kitchen.jpg,397_bedroom.jpg,397_frontal.jpg,125000
